Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
AND,2012-05-01,2012-05-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7005,May,,0.781927522427109,X
AND,2012-06-01,2012-06-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7006,June,,0.798321244468756,X
AND,2012-07-01,2012-07-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7007,July,,0.813771981090868,X
AND,2012-08-01,2012-08-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7008,August,,0.806454440583601,X
AND,2012-09-01,2012-09-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7009,September,,0.777865071524693,X
AND,2012-10-01,2012-10-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7010,October,,0.770761981997709,X
AND,2012-11-01,2012-11-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7011,November,,0.779561319584723,X
AND,2012-12-01,2012-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7012,December,,0.762231814753577,X
AND,2013-01-01,2013-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2013,2013,7021,Annual value,,0.753159181847270,X
AND,2013-01-01,2013-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2013,2013,7001,January,,0.752556125293779,X
AND,2013-02-01,2013-02-28,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2013,2013,7002,February,,0.748556222186458,X
AND,2013-03-01,2013-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2013,2013,7003,March,,0.771390663087414,X
